PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
08948,1143448,9.386227,0.102722,0.480433,0.101023,-0.116264,-0.129268,-0.545122,-0.046954,0.374829,-164.613745,-85.549088,176.308213
08949,1143548,9.468671,0.048798,0.502056,0.071879,-0.147351,-0.143458,-0.543161,-0.049051,0.376227,-165.874478,-85.488819,177.614051
08950,1143648,9.521628,-0.037286,0.627547,0.058382,-0.161541,-0.151800,-0.542636,-0.049485,0.374702,-167.189220,-85.419498,178.966444
08951,1143748,9.562358,-0.097206,0.731719,0.040353,-0.163373,-0.157655,-0.541684,-0.053583,0.376499,-168.516735,-85.347426,-179.678554
08952,1143848,9.653356,-0.094261,0.684966,0.021297,-0.158020,-0.166518,-0.541687,-0.055077,0.376423,-169.867417,-85.276811,-178.311100
08953,1143948,9.723507,-0.076963,0.674662,0.012144,-0.141782,-0.172235,-0.536210,-0.056659,0.376348,-171.204189,-85.213334,-176.962710
08954,1144048,9.776600,-0.022619,0.691111,0.000250,-0.132043,-0.176211,-0.535698,-0.059608,0.375196,-172.529976,-85.153145,-175.632037
08955,1144148,9.814387,-0.019520,0.669359,-0.009607,-0.125834,-0.181770,-0.537223,-0.061152,0.376619,-173.860565,-85.094315,-174.302074
08956,1144248,9.982273,0.074388,0.772559,-0.025021,-0.120325,-0.191389,-0.531301,-0.065851,0.378891,-175.227933,-85.036531,-172.943923
08957,1144348,10.121957,0.124234,0.935910,-0.048433,-0.113199,-0.199172,-0.528274,-0.065304,0.376918,-176.624473,-84.980363,-171.569817
08958,1144448,10.304815,0.183566,1.060800,-0.076149,-0.096666,-0.203638,-0.530282,-0.068784,0.377240,-178.030500,-84.930899,-170.201996
08959,1144548,10.419939,0.295889,1.194347,-0.101082,-0.073024,-0.209191,-0.526302,-0.071836,0.377089,-179.457226,-84.892124,-168.827627
08960,1144648,10.497715,0.374544,1.232237,-0.123259,-0.048484,-0.220368,-0.525778,-0.072768,0.375538,179.051678,-84.864329,-167.401303
08961,1144748,10.589601,0.374303,1.214070,-0.140396,-0.028365,-0.229836,-0.524784,-0.079237,0.374709,177.501922,-84.844557,-165.925874
08962,1144848,10.620450,0.311218,1.209096,-0.157663,-0.007358,-0.238134,-0.520805,-0.077830,0.375286,175.893084,-84.832922,-164.400998
08963,1144948,10.563298,0.152911,1.152197,-0.169672,0.011270,-0.244677,-0.522258,-0.080177,0.372660,174.232682,-84.827722,-162.831203
08964,1145048,10.432655,0.010472,1.087221,-0.167506,0.020242,-0.253390,-0.518269,-0.083205,0.372008,172.516107,-84.822918,-161.203701
08965,1145148,10.395310,-0.126994,1.056183,-0.159163,0.038554,-0.253878,-0.516793,-0.088734,0.372229,170.787375,-84.824076,-159.559129
08966,1145248,10.536874,-0.216689,0.921048,-0.147913,0.067555,-0.255407,-0.514810,-0.088789,0.372730,169.021539,-84.836945,-157.870783
08967,1145348,10.626487,-0.282107,0.712361,-0.144592,0.086450,-0.250876,-0.515314,-0.092269,0.372552,167.252282,-84.856272,-156.177066
08968,1145448,10.599557,-0.393094,0.463814,-0.142986,0.078533,-0.237315,-0.511774,-0.093674,0.369478,165.568994,-84.868447,-154.568708
08969,1145548,10.635913,-0.507006,0.213942,-0.113280,0.058997,-0.218977,-0.513753,-0.096086,0.368351,164.043342,-84.868556,-153.101465
08970,1145648,10.732326,-0.619334,-0.022781,-0.069223,0.033358,-0.199453,-0.511771,-0.102096,0.368047,162.711426,-84.854532,-151.803292
08971,1145748,10.904365,-0.691377,-0.288549,-0.029811,0.009075,-0.178754,-0.513254,-0.101052,0.367597,161.583234,-84.828422,-150.686866
08972,1145848,11.162237,-0.735895,-0.548226,-0.006254,-0.005568,-0.156300,-0.511263,-0.107038,0.366793,160.644305,-84.796743,-149.746785
08973,1145948,11.383032,-0.694727,-0.822030,0.009677,-0.017225,-0.134144,-0.510269,-0.108549,0.366717,159.881392,-84.761812,-148.974152
08974,1146048,11.598798,-0.650556,-1.039700,0.026854,-0.023276,-0.110620,-0.509228,-0.109441,0.364167,159.288623,-84.727508,-148.362375
08975,1146148,11.747679,-0.602955,-1.263187,0.056197,-0.031779,-0.092583,-0.513319,-0.111635,0.369563,158.843309,-84.691839,-147.881691
08976,1146248,11.839712,-0.557857,-1.379554,0.077794,-0.064072,-0.081049,-0.512803,-0.112093,0.368537,158.554846,-84.641048,-147.546010
08977,1146348,12.028301,-0.550095,-1.184031,0.079867,-0.091414,-0.072293,-0.511794,-0.110092,0.368140,158.383824,-84.577400,-147.326992
08978,1146448,12.106588,-0.528243,-0.723455,0.065101,-0.082862,-0.059365,-0.513805,-0.115067,0.368385,158.261746,-84.520997,-147.165534
08979,1146548,12.020961,-0.330414,-0.443110,0.052022,-0.039577,-0.044029,-0.516241,-0.115879,0.365335,158.123886,-84.490858,-146.995665
08980,1146648,11.747887,0.004593,-0.302590,0.021162,0.013384,-0.033786,-0.517753,-0.114907,0.366385,157.908446,-84.491015,-146.765569
08981,1146748,11.376150,0.275275,-0.368088,-0.030357,0.058171,-0.020967,-0.519737,-0.115848,0.365833,157.632688,-84.517617,-146.504517
08982,1146848,11.024061,0.444639,-0.482082,-0.079482,0.116072,-0.015530,-0.522642,-0.115584,0.361334,157.221828,-84.575902,-146.136040
08983,1146948,10.659076,0.567896,-0.763489,-0.130091,0.164166,-0.005725,-0.526670,-0.118606,0.363180,156.712531,-84.661460,-145.697878
08984,1147048,10.127302,0.716083,-1.168055,-0.173573,0.173718,0.005195,-0.529594,-0.118889,0.359654,156.201084,-84.754157,-145.282682
08985,1147148,9.665853,0.786210,-1.618377,-0.208233,0.158156,0.005364,-0.533068,-0.121774,0.358502,155.694621,-84.838392,-144.892549
08986,1147248,9.215755,0.825813,-2.005322,-0.233781,0.133649,-0.000294,-0.536999,-0.122563,0.355451,155.191654,-84.908170,-144.520744
08987,1147348,8.824406,0.863361,-2.284199,-0.259099,0.095893,-0.006169,-0.537987,-0.123520,0.354900,154.732190,-84.956615,-144.207293
