PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
07021,878928,9.505492,0.556726,1.512117,0.130242,-0.000749,0.042777,-0.205190,-0.135467,-0.187465,4.204613,-81.607345,-4.159745
07022,879028,9.435567,0.490493,1.473166,0.127504,-0.006082,0.043528,-0.207172,-0.134913,-0.187940,4.115911,-81.613145,-3.996781
07023,879128,9.440258,0.354577,1.474898,0.122826,-0.020912,0.042283,-0.204657,-0.136873,-0.189541,4.033240,-81.627333,-3.842606
07024,879228,9.550666,0.301158,1.504897,0.110233,-0.034609,0.040226,-0.202671,-0.135434,-0.188964,3.954629,-81.649234,-3.699818
07025,879328,9.638910,0.349728,1.505894,0.095904,-0.043992,0.038057,-0.205662,-0.136383,-0.189016,3.878187,-81.676384,-3.567508
07026,879428,9.701214,0.398883,1.489491,0.086230,-0.049758,0.036923,-0.204155,-0.134888,-0.189439,3.801491,-81.706759,-3.440528
07027,879528,9.725525,0.443203,1.516784,0.070794,-0.049817,0.039836,-0.203681,-0.137933,-0.188591,3.703780,-81.737248,-3.301231
07028,879628,9.670145,0.490704,1.520064,0.056794,-0.054271,0.043403,-0.202714,-0.133562,-0.186363,3.584211,-81.770372,-3.147934
07029,879728,9.639332,0.520868,1.519417,0.044123,-0.062553,0.042815,-0.201641,-0.137347,-0.191065,3.460641,-81.808163,-2.997907
07030,879828,9.643063,0.509128,1.555615,0.017891,-0.073005,0.042146,-0.201159,-0.135908,-0.189988,3.325892,-81.851858,-2.851751
07031,879928,9.662585,0.452756,1.568382,-0.005279,-0.078129,0.038650,-0.200112,-0.133312,-0.192360,3.191562,-81.898318,-2.719418
07032,880028,9.687175,0.405991,1.561214,-0.022381,-0.079187,0.036510,-0.197071,-0.130250,-0.194706,3.054797,-81.945268,-2.594511
07033,880128,9.707237,0.365262,1.546684,-0.027618,-0.079830,0.030491,-0.196053,-0.128224,-0.195604,2.938150,-81.992363,-2.492942
07034,880228,9.650960,0.284811,1.527789,-0.028018,-0.079827,0.024537,-0.193974,-0.126544,-0.200025,2.844378,-82.039256,-2.414701
07035,880328,9.575491,0.174943,1.551610,-0.027939,-0.085059,0.019924,-0.191957,-0.123040,-0.200846,2.769682,-82.088994,-2.355676
07036,880428,9.599512,0.114379,1.537681,-0.011237,-0.079723,0.018607,-0.189423,-0.119496,-0.202667,2.708162,-82.135629,-2.300298
07037,880528,9.529296,0.159850,1.586784,0.004165,-0.071336,0.018171,-0.186961,-0.120106,-0.201192,2.655007,-82.177440,-2.244433
07038,880628,9.499181,0.194063,1.507485,0.007338,-0.077776,0.015437,-0.183845,-0.116353,-0.207510,2.615790,-82.222854,-2.200831
07039,880728,9.645914,0.297207,1.507567,0.013161,-0.065120,0.013556,-0.179825,-0.112358,-0.208806,2.584991,-82.260969,-2.162330
