PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
03260,427438,9.598782,0.401313,1.851733,-0.122685,0.023707,-0.026024,-0.098548,-0.429099,0.332797,10.031454,-77.699046,-9.805674
03261,427538,9.630932,0.523222,1.866628,-0.134958,0.017198,-0.019977,-0.099078,-0.431156,0.334194,10.001695,-77.687804,-9.854070
03262,427638,9.642391,0.671817,1.889508,-0.144181,0.005268,-0.013923,-0.099569,-0.432619,0.333618,9.956465,-77.683905,-9.892025
03263,427738,9.648489,0.704576,1.952104,-0.148906,-0.008941,-0.013105,-0.100619,-0.436709,0.335913,9.912896,-77.688114,-9.934435
03264,427838,9.670940,0.605349,2.028211,-0.142508,-0.016408,-0.016543,-0.102634,-0.438719,0.336811,9.885293,-77.696204,-9.989421
03265,427938,9.693302,0.443232,2.040466,-0.134402,0.004726,-0.023235,-0.102229,-0.438968,0.341809,9.870128,-77.691712,-10.052380
03266,428038,9.613056,0.279046,1.981553,-0.127693,0.039375,-0.032019,-0.105204,-0.441861,0.340656,9.865851,-77.666804,-10.122558
03267,428138,9.480290,0.185780,1.782746,-0.125600,0.048107,-0.041049,-0.108729,-0.447359,0.341875,9.881954,-77.636084,-10.212387
03268,428238,9.486614,0.236032,1.869551,-0.124173,0.034937,-0.038468,-0.107782,-0.444031,0.345052,9.897894,-77.613051,-10.301230
03269,428338,9.550166,0.353987,1.969883,-0.121234,0.020173,-0.032754,-0.108806,-0.449046,0.345797,9.907307,-77.598912,-10.381672
03270,428438,9.590102,0.438052,2.041121,-0.122296,-0.005294,-0.024535,-0.111346,-0.451120,0.348194,9.906388,-77.599956,-10.452158
03271,428538,9.639312,0.498424,2.179414,-0.131176,-0.033266,-0.016033,-0.110864,-0.455138,0.348490,9.891143,-77.617626,-10.513176
03272,428638,9.694591,0.453351,2.240613,-0.130026,-0.036288,-0.009860,-0.110944,-0.457822,0.352362,9.862095,-77.637610,-10.559378
03273,428738,9.679855,0.399769,2.173207,-0.127979,-0.021956,-0.008669,-0.112465,-0.457372,0.353886,9.824752,-77.649624,-10.595885
03274,428838,9.610140,0.336896,2.059153,-0.122864,0.002327,-0.010658,-0.114008,-0.458963,0.356309,9.784621,-77.647740,-10.626538
03275,428938,9.551324,0.314860,1.963084,-0.114188,0.005563,-0.013458,-0.116080,-0.461615,0.360180,9.755238,-77.643763,-10.663107
03276,429038,9.556029,0.337476,2.007669,-0.104376,0.001791,-0.015564,-0.115143,-0.463769,0.363077,9.738573,-77.641716,-10.706943
03277,429138,9.595360,0.386179,2.007994,-0.097773,-0.009467,-0.014387,-0.115690,-0.465376,0.365500,9.727644,-77.646143,-10.752777
03278,429238,9.628620,0.387732,2.102243,-0.090060,-0.027172,-0.017281,-0.118758,-0.468012,0.369370,9.736470,-77.660289,-10.814307
03279,429338,9.647062,0.322060,2.197612,-0.082781,-0.045393,-0.019457,-0.118357,-0.470752,0.374241,9.763289,-77.684506,-10.889984
03280,429438,9.652041,0.263826,2.313916,-0.073013,-0.057617,-0.027598,-0.116933,-0.473436,0.377613,9.822488,-77.714816,-10.993069
03281,429538,9.659898,0.219809,2.389704,-0.059709,-0.050132,-0.036116,-0.113526,-0.477171,0.381435,9.908426,-77.740030,-11.115713
03282,429638,9.617340,0.257605,2.343547,-0.048915,-0.038009,-0.041055,-0.111107,-0.480867,0.384757,10.008243,-77.757866,-11.246227
03283,429738,9.556765,0.278241,2.217144,-0.048489,-0.038334,-0.039332,-0.111679,-0.480553,0.388780,10.104291,-77.776007,-11.372630
03284,429838,9.499045,0.316625,2.113503,-0.052023,-0.061474,-0.040689,-0.106792,-0.486828,0.392976,10.213061,-77.807012,-11.514111
03285,429938,9.517889,0.298727,2.108062,-0.063860,-0.098315,-0.041232,-0.104406,-0.488129,0.398423,10.334692,-77.858670,-11.675668
03286,430038,9.508273,0.200499,2.171352,-0.065398,-0.131477,-0.044204,-0.101548,-0.493970,0.404642,10.480612,-77.928626,-11.862940
03287,430138,9.511632,0.074232,2.248867,-0.054348,-0.155568,-0.050235,-0.100662,-0.498735,0.409912,10.662788,-78.011400,-12.080770
03288,430238,9.580481,0.067347,2.252537,-0.033634,-0.162635,-0.055829,-0.095820,-0.504133,0.416656,10.878160,-78.097391,-12.320348
