PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
02713,337908,0.530970,-9.222046,2.219710,-0.073253,0.119514,-0.042755,0.291366,0.810670,-0.043472,-70.914595,-5.855139,-104.109647
02714,338008,0.154607,-8.832681,3.136987,-0.066414,0.039876,-0.053819,0.291367,0.811168,-0.043446,-70.950420,-5.877300,-104.140554
02715,338108,0.201589,-8.590660,3.827898,-0.091859,0.057526,-0.117681,0.291313,0.812020,-0.040397,-70.998557,-5.930757,-104.193038
02716,338208,0.473700,-8.916109,3.998663,-0.154109,0.141079,-0.173765,0.289287,0.813948,-0.038296,-71.076461,-5.999093,-104.301464
02717,338308,0.772051,-9.222773,3.833070,-0.208254,0.205054,-0.179835,0.290189,0.812695,-0.033349,-71.181473,-6.059031,-104.445780
02718,338408,1.118866,-9.508482,3.431293,-0.222022,0.268811,-0.139267,0.288631,0.813547,-0.029800,-71.291387,-6.085481,-104.617252
02719,338508,1.335781,-9.655701,3.295407,-0.219163,0.304424,-0.075809,0.285684,0.811224,-0.032427,-71.398830,-6.071287,-104.796414
02720,338608,1.386677,-9.598869,3.182156,-0.237939,0.317847,-0.007186,0.285559,0.813876,-0.025277,-71.517689,-6.017733,-104.970347
02721,338708,1.307430,-9.440437,3.184233,-0.256860,0.317077,0.049874,0.285932,0.811064,-0.018907,-71.648712,-5.933685,-105.133559
02722,338808,1.431486,-9.281804,3.127421,-0.278424,0.302108,0.078136,0.288407,0.812969,-0.017805,-71.793692,-5.837358,-105.283639
02723,338908,1.461196,-9.265421,2.951017,-0.293686,0.271579,0.104641,0.287846,0.808846,-0.015009,-71.949824,-5.732450,-105.412478
02724,339008,1.401248,-9.213706,2.988381,-0.306807,0.214596,0.144086,0.286787,0.809690,-0.011460,-72.117474,-5.616493,-105.503360
02725,339108,1.233371,-9.140489,3.291397,-0.327527,0.142225,0.161251,0.288714,0.809490,-0.007961,-72.301271,-5.504133,-105.551865
02726,339208,1.125266,-8.943482,3.603804,-0.369146,0.128409,0.158090,0.290123,0.808751,-0.003488,-72.509614,-5.396073,-105.593670
02727,339308,0.980818,-8.897216,3.586799,-0.430950,0.158729,0.125735,0.290027,0.806518,0.001409,-72.751309,-5.300694,-105.658060
02728,339408,1.071873,-8.935458,3.481672,-0.535429,0.209190,0.105721,0.289016,0.808976,0.002535,-73.050057,-5.208094,-105.753984
02729,339508,0.809414,-9.465707,2.973951,-0.545885,0.210915,0.094726,0.292854,0.804068,0.009805,-73.354653,-5.121743,-105.853162
02730,339608,0.784373,-9.488618,2.798480,-0.507408,0.158325,0.086258,0.290320,0.805980,0.012405,-73.639755,-5.049114,-105.925162
02731,339708,0.930582,-9.576660,3.041570,-0.478584,0.144648,0.096828,0.291670,0.803104,0.019775,-73.909209,-4.973214,-105.988243
02732,339808,0.785939,-9.474590,3.128712,-0.526346,0.141080,0.105400,0.291647,0.800564,0.020648,-74.206358,-4.893469,-106.048349
02733,339908,0.597270,-9.339379,2.971296,-0.593279,0.112525,0.097147,0.294543,0.800276,0.025647,-74.543122,-4.823015,-106.094350
02734,340008,0.553419,-9.312827,2.753127,-0.609522,0.104566,0.078851,0.296449,0.798533,0.030070,-74.889345,-4.764147,-106.139130
02735,340108,0.608545,-9.200967,2.410319,-0.592052,0.110355,0.056694,0.295343,0.799755,0.036143,-75.225040,-4.716954,-106.190773
02736,340208,0.713084,-9.542493,2.254215,-0.551809,0.121130,0.043560,0.295346,0.795793,0.035440,-75.537062,-4.675776,-106.250604
02737,340308,0.777575,-9.640915,1.972400,-0.471827,0.115295,0.049896,0.294739,0.797006,0.041514,-75.803645,-4.632208,-106.306522
02738,340408,0.836464,-9.664822,1.887257,-0.366905,0.126363,0.083331,0.296682,0.795360,0.043937,-76.010054,-4.568747,-106.364142
02739,340508,0.852231,-9.573071,1.821131,-0.284364,0.154690,0.109108,0.298070,0.793078,0.049334,-76.168285,-4.487231,-106.434234
02740,340608,0.912648,-9.469973,1.571681,-0.205685,0.189767,0.118966,0.296508,0.791439,0.052756,-76.280148,-4.395610,-106.522781
02741,340708,0.607386,-9.636644,1.910713,-0.166341,0.155266,0.152048,0.296474,0.793335,0.054856,-76.371429,-4.290394,-106.587758
02742,340808,0.353159,-9.445040,2.323497,-0.182740,0.124864,0.204099,0.299456,0.789302,0.054654,-76.473999,-4.160373,-106.628920
02743,340908,0.143095,-9.207787,2.812373,-0.244905,0.119164,0.198885,0.299448,0.790274,0.055205,-76.612421,-4.034090,-106.667851
02744,341008,0.226143,-9.220521,3.002827,-0.329547,0.172791,0.173163,0.302368,0.787567,0.058577,-76.797062,-3.915185,-106.740477
02745,341108,0.324464,-9.355144,2.848973,-0.386398,0.263153,0.173822,0.301250,0.786772,0.065049,-77.010999,-3.784427,-106.863938
02746,341208,0.389713,-9.332219,2.698931,-0.403188,0.368944,0.193088,0.300700,0.784168,0.067421,-77.231148,-3.629863,-107.044601
02747,341308,0.445686,-9.227956,2.366786,-0.413121,0.503289,0.200566,0.303621,0.782457,0.070844,-77.452877,-3.454945,-107.300124
02748,341408,0.395671,-9.165029,1.841250,-0.384909,0.625247,0.210510,0.302079,0.781862,0.073318,-77.655310,-3.260341,-107.623387
02749,341508,0.328011,-9.212087,1.217444,-0.438473,0.587359,0.206149,0.301940,0.781999,0.080840,-77.890649,-3.073998,-107.926670
02750,341608,0.483317,-9.544649,1.110502,-0.401502,0.524360,0.214009,0.306346,0.779742,0.084738,-78.107671,-2.891946,-108.194402
02751,341708,0.597095,-9.573508,1.023113,-0.294982,0.459259,0.233842,0.304737,0.777983,0.090659,-78.266431,-2.707282,-108.423863
02752,341808,0.512577,-9.479937,1.218196,-0.162152,0.403489,0.244856,0.305220,0.774961,0.091007,-78.351326,-2.523397,-108.621124
02753,341908,0.294241,-9.030737,1.793556,-0.142482,0.349355,0.241312,0.306144,0.775749,0.095056,-78.426841,-2.348016,-108.788624
02754,342008,0.220792,-9.145904,2.189734,-0.096372,0.306218,0.176645,0.305577,0.773596,0.098453,-78.477044,-2.214063,-108.939475
02755,342108,0.600271,-9.413477,2.472884,-0.102056,0.326168,0.114995,0.304526,0.773965,0.101477,-78.530101,-2.112593,-109.108647
02756,342208,0.832180,-9.536318,2.066995,-0.104602,0.356837,0.103893,0.304105,0.770204,0.096775,-78.584239,-2.014048,-109.296376
02757,342308,0.728795,-9.819405,2.041064,-0.129435,0.315551,0.153512,0.303942,0.772760,0.105924,-78.653946,-1.892515,-109.455366
02758,342408,0.645995,-9.835629,2.340048,-0.175523,0.285101,0.235193,0.306412,0.771676,0.106874,-78.751268,-1.728754,-109.588196
02759,342508,0.768887,-9.709640,2.883754,-0.274248,0.394578,0.361705,0.306344,0.769514,0.110271,-78.904258,-1.482041,-109.768803
02760,342608,0.172616,-9.847707,2.146367,-0.262069,0.492402,0.387080,0.307730,0.766236,0.115617,-79.049841,-1.210811,-110.002271
02761,342708,0.305671,-9.775576,1.714675,-0.213754,0.504218,0.353457,0.310682,0.766093,0.117617,-79.168616,-0.957761,-110.246640
02762,342808,0.495937,-9.863552,1.306340,-0.159571,0.539044,0.359838,0.310147,0.761046,0.118862,-79.257188,-0.697834,-110.510393
02763,342908,0.517973,-9.990652,0.935570,-0.111202,0.513961,0.377919,0.313051,0.760283,0.123336,-79.319455,-0.430754,-110.758474
02764,343008,0.131222,-10.036061,0.898244,-0.051611,0.461686,0.420523,0.314488,0.759617,0.126310,-79.348988,-0.145422,-110.972871
02765,343108,-0.479621,-9.833493,1.151136,-0.029453,0.381633,0.447670,0.316988,0.759104,0.125785,-79.366940,0.146662,-111.139498
02766,343208,-0.867096,-9.637878,1.709384,-0.026482,0.315892,0.411846,0.316936,0.755994,0.128132,-79.383850,0.411608,-111.273018
02767,343308,-0.953467,-9.723187,2.328243,-0.064637,0.333062,0.364705,0.320339,0.755722,0.132631,-79.423334,0.651779,-111.421309
02768,343408,-0.968186,-8.836719,2.852892,-0.075960,0.534826,0.306889,0.320277,0.752090,0.135452,-79.471476,0.880466,-111.689467
02769,343508,-1.676210,-8.494283,3.923812,-0.140875,0.799864,0.197057,0.318235,0.750506,0.137875,-79.560468,1.074627,-112.118608
02770,343608,-2.593935,-6.890888,0.980166,-0.501147,0.804522,-0.036486,0.316613,0.751687,0.144948,-79.857387,1.136255,-112.575064
02771,343708,-0.256290,-8.666802,1.031241,-0.753048,0.311826,-0.366581,0.313492,0.750401,0.151893,-80.293714,0.960013,-112.786422
02772,343808,0.730987,-10.609782,0.553954,-0.934638,-0.186026,-0.559291,0.309959,0.750336,0.154391,-80.829524,0.626259,-112.733011
02773,343908,0.835919,-11.451775,0.313519,-0.813961,-0.395990,-0.542752,0.307404,0.750705,0.157914,-81.295581,0.283627,-112.556445
02774,344008,0.612753,-11.048626,0.273540,-0.409319,-0.393126,-0.422447,0.303899,0.751210,0.158938,-81.530767,0.010464,-112.369196
02775,344108,0.741906,-10.979191,1.276493,-0.082503,-0.359711,-0.292485,0.302954,0.753838,0.156566,-81.579468,-0.185794,-112.189274
02776,344208,1.019330,-10.519012,2.172008,0.028049,-0.259428,-0.172653,0.301503,0.751989,0.153965,-81.565096,-0.305701,-112.055993
02777,344308,1.097279,-10.532424,2.112915,0.065119,-0.127545,-0.066656,0.298899,0.751241,0.159936,-81.529278,-0.354529,-111.988508
02778,344408,0.866312,-10.285345,1.621696,0.160726,0.043440,0.069087,0.299996,0.750494,0.154388,-81.438184,-0.312036,-112.006416
02779,344508,0.279855,-9.820158,1.852336,0.237870,0.140881,0.125894,0.299010,0.751032,0.153913,-81.302659,-0.228961,-112.074525
02780,344608,0.063077,-9.562185,2.052389,0.109176,0.016582,0.074035,0.299449,0.748887,0.156811,-81.241165,-0.185948,-112.076565
02781,344708,0.115950,-9.594551,2.141745,-0.082716,-0.143427,0.058012,0.299999,0.747030,0.153710,-81.289868,-0.165937,-111.989338
02782,344808,0.184568,-9.716348,2.190456,-0.177049,-0.223756,0.054581,0.301469,0.748429,0.155286,-81.392696,-0.154695,-111.856881
02783,344908,0.484111,-9.780803,2.302346,-0.199184,-0.190781,0.053180,0.302980,0.747457,0.154236,-81.508098,-0.141211,-111.743182
02784,345008,0.483853,-9.516199,2.436347,-0.260789,-0.050158,0.082166,0.302462,0.746919,0.155210,-81.658542,-0.099267,-111.706707
02785,345108,0.166429,-9.468071,1.933400,-0.371484,-0.017900,0.088668,0.301877,0.744717,0.159607,-81.872338,-0.050887,-111.688081
02786,345208,0.035491,-9.697986,1.614176,-0.494942,-0.025874,0.099091,0.305428,0.744332,0.156084,-82.156847,0.002851,-111.664310
02787,345308,0.033050,-9.644877,1.188789,-0.547474,-0.029199,0.094415,0.306325,0.740588,0.160904,-82.471443,0.053794,-111.639286
02788,345408,0.149027,-9.797192,0.702356,-0.529491,-0.071814,0.066183,0.306239,0.739374,0.165352,-82.775717,0.085688,-111.592442
02789,345508,0.202598,-9.730459,0.492104,-0.478221,-0.137656,0.049657,0.308762,0.736442,0.163201,-83.050564,0.103762,-111.509540
02790,345608,0.141559,-9.775608,0.698058,-0.347304,-0.188103,0.051139,0.307208,0.734328,0.166098,-83.250344,0.119565,-111.397941
02791,345708,0.023311,-9.556251,1.027517,-0.221725,-0.190271,0.068632,0.306256,0.733468,0.163548,-83.378132,0.145495,-111.284000
02792,345808,-0.045909,-9.433863,1.278348,-0.188920,-0.192754,0.079861,0.309731,0.731894,0.163972,-83.487056,0.177886,-111.167949
02793,345908,-0.004630,-9.297940,1.428791,-0.187459,-0.143379,0.097611,0.310161,0.729725,0.167369,-83.595148,0.223779,-111.078904
02794,346008,-0.089973,-9.234860,1.164824,-0.194773,-0.011851,0.108268,0.310188,0.729299,0.165845,-83.707675,0.284245,-111.064170
02795,346108,-0.079460,-9.364498,0.834033,-0.150524,0.095659,0.091397,0.314209,0.728833,0.163821,-83.795185,0.341834,-111.111844
02796,346208,0.128751,-9.469241,0.669175,-0.137153,0.138210,0.104010,0.314633,0.728633,0.167820,-83.875258,0.409152,-111.183085
02797,346308,0.213532,-9.499627,0.680592,-0.213283,0.124695,0.152269,0.313676,0.724783,0.165118,-83.998982,0.503012,-111.243840
02798,346408,-0.152552,-9.792723,0.625200,-0.297040,0.007157,0.221099,0.313638,0.724189,0.167091,-84.170132,0.629004,-111.233815
