PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
01658,342628,9.700426,0.124161,1.180119,0.032218,-0.129338,0.065163,-0.173915,-0.112706,-0.285977,2.037926,-84.623117,-2.028966
01659,342728,9.688867,0.109467,1.162125,0.032034,-0.116500,0.066431,-0.174910,-0.111694,-0.285927,1.686082,-84.691746,-1.657810
01660,342828,9.661164,0.111916,1.107320,0.033920,-0.100103,0.064431,-0.171914,-0.107756,-0.285722,1.336009,-84.750726,-1.287385
01661,342928,9.643575,0.070476,1.074870,0.043266,-0.083837,0.060594,-0.170870,-0.107153,-0.288196,1.005564,-84.800126,-0.931324
01662,343028,9.678265,0.045525,1.015560,0.052541,-0.066913,0.059121,-0.173387,-0.106189,-0.286646,0.681982,-84.839622,-0.576846
01663,343128,9.769070,0.033879,0.989297,0.067710,-0.058153,0.055810,-0.171879,-0.103698,-0.287019,0.382692,-84.873900,-0.238052
01664,343228,9.868832,0.065768,0.910192,0.069609,-0.053904,0.052327,-0.170804,-0.101029,-0.290890,0.102565,-84.905578,0.082577
01665,343328,9.966637,0.067158,0.866779,0.062878,-0.067705,0.050430,-0.170754,-0.099414,-0.293313,-0.173206,-84.945026,0.394943
01666,343428,9.994375,0.113615,0.924784,0.042827,-0.079659,0.050921,-0.168240,-0.096416,-0.294159,-0.468948,-84.991179,0.715803
01667,343528,9.995031,0.127521,1.008533,0.029606,-0.089217,0.048024,-0.169198,-0.095806,-0.296133,-0.759702,-85.042673,1.024029
01668,343628,10.043307,0.133751,1.113486,0.027978,-0.089134,0.042562,-0.165649,-0.092229,-0.298953,-1.021142,-85.094022,1.301871
01669,343728,10.056752,0.026772,1.105182,0.028202,-0.058380,0.036468,-0.164140,-0.094198,-0.300054,-1.242532,-85.127705,1.539628
01670,343828,9.988862,-0.114416,1.023485,0.027009,-0.026883,0.032474,-0.164080,-0.092060,-0.302951,-1.435518,-85.143314,1.748183
01671,343928,9.904526,-0.202411,0.972060,0.027477,-0.020228,0.034592,-0.160095,-0.092123,-0.302950,-1.642728,-85.155008,1.971280
01672,344028,9.838359,-0.248542,0.964261,0.038879,-0.028699,0.036215,-0.160594,-0.092614,-0.302975,-1.857506,-85.171445,2.208523
01673,344128,9.778817,-0.233863,0.944706,0.046649,-0.043010,0.040815,-0.154540,-0.091021,-0.306896,-2.104444,-85.195897,2.482501
01674,344228,9.704185,-0.196256,0.906115,0.053929,-0.051956,0.045989,-0.151014,-0.089984,-0.308843,-2.388015,-85.225241,2.797414
01675,344328,9.610668,-0.144713,0.854866,0.053372,-0.059746,0.045662,-0.150969,-0.090860,-0.311393,-2.675993,-85.258916,3.116416
01676,344428,9.529732,-0.117404,0.808689,0.049227,-0.060203,0.043107,-0.148472,-0.092370,-0.311968,-2.953205,-85.292791,3.422216
01677,344528,9.474285,-0.061334,0.778986,0.041240,-0.060011,0.040157,-0.146016,-0.091011,-0.309892,-3.218559,-85.326527,3.711512
01678,344628,9.449965,-0.085921,0.757180,0.038374,-0.043016,0.032122,-0.143441,-0.090336,-0.314364,-3.425850,-85.350710,3.940892
01679,344728,9.469497,-0.136518,0.707779,0.034435,-0.035420,0.026857,-0.140902,-0.089258,-0.316812,-3.597194,-85.370676,4.131936
01680,344828,9.532397,-0.187105,0.690683,0.026531,-0.033872,0.024194,-0.141353,-0.089130,-0.319311,-3.755196,-85.389812,4.305045
01681,344928,9.601276,-0.219205,0.712394,0.011998,-0.040895,0.025539,-0.140838,-0.090086,-0.320361,-3.936105,-85.412873,4.492775
01682,345028,9.657507,-0.260527,0.727386,-0.006317,-0.052020,0.031894,-0.135792,-0.089997,-0.323858,-4.180906,-85.441978,4.734068
01683,345128,9.710764,-0.251860,0.749546,-0.021289,-0.058129,0.037288,-0.133297,-0.087545,-0.323730,-4.479969,-85.474248,5.021177
01684,345228,9.810018,-0.209782,0.745049,-0.028006,-0.049535,0.040237,-0.130777,-0.087014,-0.325203,-4.803437,-85.501348,5.328896
01685,345328,10.015466,-0.172627,0.758139,-0.027982,-0.020277,0.037997,-0.130192,-0.084812,-0.329600,-5.095472,-85.511728,5.605090
01686,345428,10.198369,-0.157046,0.708148,-0.031329,0.004749,0.037097,-0.126177,-0.083807,-0.331047,-5.367192,-85.507772,5.858981
