time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
342628,0.032218,-0.129338,0.065163,1.000043918,0.012800103,0.121661753,-0.173915,-0.112706,-0.285977,1016.549011
342728,0.032034,-0.1165,0.066431,0.998852268,0.011285258,0.119806701,-0.17491,-0.111694,-0.285927,1016.549011
342828,0.03392,-0.100103,0.064431,0.995996289,0.011537732,0.114156701,-0.171914,-0.107756,-0.285722,1016.549011
342928,0.043266,-0.083837,0.060594,0.99418299,0.007265567,0.11081134,-0.17087,-0.107153,-0.288196,1016.549011
343028,0.052541,-0.066913,0.059121,0.997759278,0.004693299,0.104696907,-0.173387,-0.106189,-0.286646,1016.550781
343128,0.06771,-0.058153,0.05581,1.007120619,0.00349268,0.101989381,-0.171879,-0.103698,-0.287019,1016.550781
343228,0.069609,-0.053904,0.052327,1.017405361,0.006780206,0.093834227,-0.170804,-0.101029,-0.29089,1016.550781
343328,0.062878,-0.067705,0.05043,1.027488351,0.006923505,0.08935866,-0.170754,-0.099414,-0.293313,1016.550781
343428,0.042827,-0.079659,0.050921,1.030347938,0.011712887,0.095338557,-0.16824,-0.096416,-0.294159,1016.550781
343528,0.029606,-0.089217,0.048024,1.030415567,0.013146495,0.103972474,-0.169198,-0.095806,-0.296133,1016.550781
343628,0.027978,-0.089134,0.042562,1.035392474,0.013788763,0.114792371,-0.165649,-0.092229,-0.298953,1016.550781
343728,0.028202,-0.05838,0.036468,1.036778557,0.00276,0.113936289,-0.16414,-0.094198,-0.300054,1016.550781
343828,0.027009,-0.026883,0.032474,1.029779588,-0.011795464,0.105513918,-0.16408,-0.09206,-0.302951,1016.550781
343928,0.027477,-0.020228,0.034592,1.021085155,-0.020867113,0.100212371,-0.160095,-0.092123,-0.30295,1016.550781
344028,0.038879,-0.028699,0.036215,1.014263814,-0.025622887,0.099408351,-0.160594,-0.092614,-0.302975,1016.550781
344128,0.046649,-0.04301,0.040815,1.008125464,-0.024109588,0.097392371,-0.15454,-0.091021,-0.306896,1016.550781
344228,0.053929,-0.051956,0.045989,1.000431443,-0.020232577,0.093413918,-0.151014,-0.089984,-0.308843,1016.550781
344328,0.053372,-0.059746,0.045662,0.990790515,-0.014918866,0.088130515,-0.150969,-0.09086,-0.311393,1016.550781
344428,0.049227,-0.060203,0.043107,0.982446598,-0.012103505,0.08337,-0.148472,-0.09237,-0.311968,1016.550781
344528,0.04124,-0.060011,0.040157,0.976730412,-0.006323093,0.080307835,-0.146016,-0.091011,-0.309892,1016.550781
344628,0.038374,-0.043016,0.032122,0.974223196,-0.008857835,0.078059794,-0.143441,-0.090336,-0.314364,1016.55011
344728,0.034435,-0.03542,0.026857,0.976236804,-0.014074021,0.072966907,-0.140902,-0.089258,-0.316812,1016.55011
344828,0.026531,-0.033872,0.024194,0.98272134,-0.019289175,0.071204433,-0.141353,-0.08913,-0.319311,1016.55011
344928,0.011998,-0.040895,0.025539,0.989822268,-0.022598454,0.07344268,-0.140838,-0.090086,-0.320361,1016.55011
345028,-0.006317,-0.05202,0.031894,0.995619278,-0.026858454,0.074988247,-0.135792,-0.089997,-0.323858,1016.55011
