time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
878928,0.130242,-0.000749,0.042777,0.969948163,0.056808776,0.154297653,-0.20519,-0.135467,-0.187465,1016.549011
879028,0.127504,-0.006082,0.043528,0.962812959,0.050050306,0.150323061,-0.207172,-0.134913,-0.18794,1016.549011
879128,0.122826,-0.020912,0.042283,0.963291633,0.036181327,0.150499796,-0.204657,-0.136873,-0.189541,1016.549011
879228,0.110233,-0.034609,0.040226,0.974557755,0.030730408,0.153560918,-0.202671,-0.135434,-0.188964,1016.549011
879328,0.095904,-0.043992,0.038057,0.983562245,0.035686531,0.153662653,-0.205662,-0.136383,-0.189016,1016.550781
879428,0.08623,-0.049758,0.036923,0.989919796,0.040702347,0.151988878,-0.204155,-0.134888,-0.189439,1016.550781
879528,0.070794,-0.049817,0.039836,0.99240051,0.045224796,0.154773878,-0.203681,-0.137933,-0.188591,1016.550781
879628,0.056794,-0.054271,0.043403,0.98674949,0.050071837,0.155108571,-0.202714,-0.133562,-0.186363,1016.550781
879728,0.044123,-0.062553,0.042815,0.983605306,0.053149796,0.155042551,-0.201641,-0.137347,-0.191065,1016.550781
879828,0.017891,-0.073005,0.042146,0.98398602,0.051951837,0.158736224,-0.201159,-0.135908,-0.189988,1016.550781
879928,-0.005279,-0.078129,0.03865,0.985978061,0.046199592,0.16003898,-0.200112,-0.133312,-0.19236,1016.550781
880028,-0.022381,-0.079187,0.03651,0.988487245,0.041427653,0.159307551,-0.197071,-0.13025,-0.194706,1016.550781
880128,-0.027618,-0.07983,0.030491,0.990534388,0.037271633,0.157824898,-0.196053,-0.128224,-0.195604,1016.550781
880228,-0.028018,-0.079827,0.024537,0.984791837,0.029062347,0.155896837,-0.193974,-0.126544,-0.200025,1016.550781
880328,-0.027939,-0.085059,0.019924,0.977090918,0.017851327,0.158327551,-0.191957,-0.12304,-0.200846,1016.550781
880428,-0.011237,-0.079723,0.018607,0.979542041,0.011671327,0.156906224,-0.189423,-0.119496,-0.202667,1016.550781
880528,0.004165,-0.071336,0.018171,0.972377143,0.016311224,0.161916735,-0.186961,-0.120106,-0.201192,1016.550781
880628,0.007338,-0.077776,0.015437,0.969304184,0.019802347,0.153825,-0.183845,-0.116353,-0.20751,1016.550781
880728,0.013161,-0.06512,0.013556,0.984276939,0.030327245,0.153833367,-0.179825,-0.112358,-0.208806,1016.550781
880828,0.015011,-0.058916,0.011936,0.976790102,0.033566122,0.162604388,-0.177236,-0.109167,-0.213651,1016.550781
880928,0.00642,-0.079792,0.013692,0.978378367,0.030146122,0.160113673,-0.173779,-0.105333,-0.211447,1016.55011
881028,-0.000571,-0.087862,0.017629,0.986291633,0.031121122,0.162754592,-0.169144,-0.103026,-0.219341,1016.55011
881128,4.80E-05,-0.080656,0.021444,0.990018878,0.029269898,0.161762449,-0.168557,-0.100326,-0.223712,1016.55011
881228,0.00695,-0.071301,0.019415,0.987705408,0.024245816,0.153183163,-0.161544,-0.098845,-0.225633,1016.55011
881328,0.028441,-0.077912,0.015401,0.97909,0.01296,0.151209592,-0.15792,-0.094578,-0.232425,1016.55011
881428,0.049901,-0.091716,0.0144,0.969215918,0.006175816,0.155133061,-0.154376,-0.088534,-0.234619,1016.55011
881528,0.067854,-0.11129,0.012569,0.955977755,-0.000742143,0.147551837,-0.150336,-0.083993,-0.236888,1016.55011
881628,0.076689,-0.130098,0.013714,0.950828163,-0.011601837,0.145155816,-0.143754,-0.08134,-0.242257,1016.55011
