time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
466738,0.082124,0.048695,0.022428,0.985446735,-0.041251939,0.048433265,-0.593384,-0.150959,0.248721,1016.550781
466838,0.090635,0.0525,0.020103,0.988811837,-0.061478878,0.05091,-0.588869,-0.148467,0.24735,1016.550781
466938,0.113573,0.075294,0.018058,0.989669388,-0.074522347,0.047087755,-0.587857,-0.149929,0.246274,1016.550781
467038,0.134085,0.105421,0.016086,0.981979694,-0.086219796,0.035898469,-0.59089,-0.149005,0.248823,1016.550781
467138,0.152447,0.126728,0.015919,0.972977755,-0.094498673,0.034578061,-0.589838,-0.148877,0.245825,1016.550781
467238,0.164043,0.134628,0.011939,0.963026633,-0.101396633,0.038644796,-0.588399,-0.148547,0.248849,1016.550781
467338,0.170495,0.127932,0.01079,0.952671429,-0.105416531,0.039071837,-0.58784,-0.145919,0.245978,1016.550781
467438,0.181078,0.114255,0.010382,0.952554796,-0.113724184,0.047218469,-0.587352,-0.146449,0.246452,1016.550781
467538,0.20163,0.102458,0.014595,0.960545204,-0.119126224,0.059474184,-0.589813,-0.144843,0.245028,1016.550781
467638,0.224971,0.098456,0.019334,0.977024388,-0.12204051,0.068667857,-0.586329,-0.146891,0.244928,1016.550781
467738,0.253763,0.104017,0.026082,0.996144082,-0.130633673,0.079590612,-0.587279,-0.146755,0.242429,1016.550781
467838,0.281119,0.118293,0.030617,1.021143265,-0.140493061,0.083158673,-0.589296,-0.145301,0.244004,1016.550781
467938,0.305193,0.140625,0.039728,1.037432551,-0.14921,0.082619082,-0.586814,-0.144866,0.244529,1016.550781
468038,0.333808,0.157609,0.044573,1.048226837,-0.151370102,0.082106327,-0.588775,-0.142769,0.243131,1016.550781
468138,0.368155,0.173884,0.047571,1.057230816,-0.143040714,0.083946531,-0.587751,-0.142713,0.241632,1016.549011
468238,0.403712,0.188123,0.043668,1.061069082,-0.127833367,0.085678163,-0.588743,-0.140206,0.241759,1016.549011
468338,0.433814,0.197167,0.038031,1.061634082,-0.10309551,0.093287653,-0.591714,-0.140609,0.240733,1016.549011
468438,0.448619,0.192579,0.034307,1.058233878,-0.068001327,0.100263163,-0.592706,-0.138101,0.240859,1016.549011
468538,0.455712,0.179874,0.027099,1.053895816,-0.040264694,0.114378673,-0.593707,-0.135619,0.241486,1016.549011
468638,0.448767,0.161638,0.016126,1.049640612,-0.017397857,0.128566939,-0.593751,-0.134244,0.244061,1016.549011
468738,0.441172,0.140276,0.005708,1.033475306,0.000112551,0.143470918,-0.596182,-0.132067,0.241163,1016.549011
468838,0.440568,0.114212,-0.000989,1.016633061,0.014776122,0.156116122,-0.595702,-0.132123,0.242163,1016.549011
468938,0.439269,0.101175,-0.010503,0.995881633,0.012465612,0.155553061,-0.595656,-0.127045,0.240418,1016.549011
469038,0.446518,0.094415,-0.019041,0.97006949,-0.000515102,0.149398367,-0.595646,-0.126523,0.239943,1016.549011
469138,0.45997,0.058488,-0.022369,0.939591224,-0.018943469,0.140612551,-0.592702,-0.125694,0.242494,1016.549011
469238,0.475604,0.00966,-0.020314,0.91516602,-0.033204592,0.135212245,-0.593741,-0.123806,0.245095,1016.549011
469338,0.485776,-0.040697,-0.016986,0.89894898,-0.047047551,0.133787653,-0.592726,-0.123773,0.244095,1016.549011
469438,0.491192,-0.08339,-0.01365,0.892436327,-0.061482959,0.132009388,-0.589252,-0.120389,0.245274,1016.549011
469538,0.486717,-0.126587,-0.0058,0.88634051,-0.074551429,0.126898265,-0.591801,-0.121491,0.248221,1016.549011
469638,0.476513,-0.156793,0.003872,0.887911735,-0.086579592,0.131613469,-0.592784,-0.119458,0.247822,1016.549011
469738,0.458161,-0.174795,0.012996,0.895731633,-0.09353102,0.141955102,-0.588273,-0.119457,0.246324,1016.549011
469838,0.439161,-0.176136,0.023194,0.905248571,-0.097541122,0.156848469,-0.586323,-0.117616,0.248926,1016.550781
